Object ID,Primary county,Sector represented ,Email preference,Posting permissions,Join year,Join month
81,Santa Cruz,,email,allowed,2024,3
82,Ventura,fisherfolk ,email,allowed,2024,3
83,Monterey,,email,allowed,2024,3
84,Monterey,,email,allowed,2024,4
85,Monterey,labor union,email,allowed,2024,4
86,Monterey,"farmworker advocate, nonprofit",email,allowed,2024,4
87,Santa Barbara,Business/technical assistance,email,allowed,2024,4
88,Ventura,,email,allowed,2024,4
89,Santa Cruz,consultancy,email,allowed,2024,5
90,Monterey,labor union,email,allowed,2024,6
91,Santa Barbara,Fisherfolk,email,allowed,2024,6
92,Monterey,small farm,email,allowed,2024,8
93,Monterey,school food,email,allowed,2024,8
94,Santa Cruz,nonprofit,email,allowed,2024,8
95,Santa Cruz,"farming & fishing technical assistance, CDFI",email,allowed,2024,8
96,San Luis Obispo,"farming technical assistance, nonprofit",email,allowed,2024,8
97,San Luis Obispo,"winery, regenerative ag",email,allowed,2024,8
98,Ventura,"technical assistance, nonprofit",email,allowed,2024,8
99,Ventura,Nonprofit,email,allowed,2024,8
100,Ventura,Business/technical assistance,email,allowed,2024,8
101,Santa Barbara,restaurant,email,allowed,2024,9
102,Monterey,"cafe, food writer",email,allowed,2024,10
103,Monterey,restaurant,email,allowed,2024,10
104,Monterey,real estate developer,email,allowed,2024,10
105,Santa Cruz,"farming & fishing technical assistance, CDFI ",email,allowed,2024,10
106,Santa Cruz,farmers market,email,allowed,2024,10
107,Ventura,"Nonprofit/Regional food system infrastructure, food hub",email,allowed,2024,10
108,Santa Barbara,"Nonprofit/regional food system infrastructure, farmers market",email,allowed,2024,12
109,Santa Cruz,govt,email,allowed,2024,12
110,Santa Cruz,govt,email,allowed,2024,12
111,Santa Cruz,"farming technical assistance, nonprofit",email,allowed,2024,12
112,Santa Cruz,"farming technical assistance, CDFI",email,allowed,2024,12
113,Santa Cruz,"farming technical assistance, CDFI",email,allowed,2024,12
114,Santa Cruz,small farm,email,allowed,2024,12
115,Monterey,health education consultancy,email,allowed,2025,1
116,Monterey,health education consultancy,email,allowed,2025,1
117,Monterey,nonprofit,email,allowed,2025,1
118,San Benito,"small organic farm, latina farmers association",email,allowed,2025,1
119,San Luis Obispo,"Nonprofit/regional food system infrastructure, food hub ",email,allowed,2025,1
120,Santa Cruz,regenerative ag advocate,email,allowed,2025,1
121,San Luis Obispo,,email,allowed,2025,1
122,Santa Cruz,,email,allowed,2025,1
123,Monterey,cafe/nonprofit,email,allowed,2025,2
124,Monterey,community college,email,allowed,2025,2
125,Monterey,research institute,email,allowed,2025,2
126,Santa Cruz,"technical assistance, nonprofit",email,allowed,2025,2
127,Ventura,Technical assistance/Farmer,email,allowed,2025,2
128,Monterey,"restaurant, co-packer",email,allowed,2025,3
129,Monterey,"small farm, food hub",email,allowed,2025,3
130,Santa Barbara,nonprofit/fisherfolk,email,allowed,2025,3
131,Santa Barbara,aquaculture,email,allowed,2025,3
132,Santa Cruz,farmers markets,email,allowed,2025,3
133,Santa Cruz,"technical assistance, nonprofit",email,allowed,2025,3
134,San Luis Obispo,tribal nonprofit,email,allowed,2025,3
135,San Luis Obispo,aquaculture,email,allowed,2025,3
136,San Luis Obispo,research institute ,email,allowed,2025,3
137,San Luis Obispo,aquaculture,email,allowed,2025,3
138,San Luis Obispo,aquaculture,email,allowed,2025,3
139,Santa Cruz,technical assistance nonprofit,email,allowed,2025,3
140,Monterey,organic farm incubator,email,allowed,2025,5
141,Santa Barbara,government ,email,not allowed,2025,5
142,Santa Barbara,government,email,allowed,2025,5
143,Monterey,sausage producer,email,allowed,2025,6
144,Monterey,mushroom farm,email,allowed,2025,6
145,Monterey,"stem education, nonprofit",email,allowed,2025,6
146,Monterey,"farming technical assistance, nonprofit",email,allowed,2025,6
147,Monterey,"stem education, nonprofit",email,allowed,2025,6
148,Santa Barbara,Fisherfolk,email,allowed,2025,6
149,Santa Cruz,"co-packer, gleaner",email,allowed,2025,6
150,San Luis Obispo,"grocer, food hub",email,allowed,2025,6
151,San Luis Obispo,"Technical assistance, extension education",email,allowed,2025,6
152,San Luis Obispo,food bank,email,allowed,2025,6
153,Monterey,"farming technical assistance, nonprofit",email,allowed,2025,6
